iter	RMSE
0	2.630414388
1	2.599947316
2	2.563890373
3	2.53205574
4	2.505251679
5	2.478718728
6	2.448485157
7	2.418761871
8	2.390822705
9	2.366182096
10	2.342058351
11	2.317286283
12	2.292973601
13	2.267421521
14	2.254224646
15	2.225385467
16	2.199920017
17	2.17868795
18	2.16273563
19	2.137583425
20	2.108088563
21	2.093465216
22	2.072446548
23	2.047723969
24	2.027233402
25	2.002643421
26	1.986365217
27	1.968266465
28	1.951739178
29	1.939388195
30	1.923246856
31	1.90420519
32	1.885376987
33	1.870688906
34	1.861141211
35	1.841506834
36	1.832286511
37	1.81119499
38	1.789507581
39	1.777443321
40	1.76213303
41	1.747693403
42	1.73799868
43	1.727735241
44	1.714128755
45	1.700438324
46	1.696628271
47	1.685604038
48	1.672457895
49	1.655959044
50	1.645295278
51	1.639520791
52	1.629871663
53	1.619152033
54	1.609304057
55	1.603668459
56	1.590979619
57	1.582585343
58	1.564648985
59	1.558805132
60	1.548167539
61	1.541321523
62	1.523331857
63	1.514461494
64	1.504463768
65	1.488354698
66	1.480586648
67	1.471038522
68	1.459280615
69	1.450222327
70	1.437842809
71	1.427209426
72	1.413992936
73	1.408082766
74	1.396422106
75	1.388101811
76	1.379863845
77	1.371345684
78	1.362936605
79	1.355429857
80	1.347391862
81	1.339976961
82	1.331345024
83	1.325080816
84	1.317632294
85	1.313130493
86	1.304305315
87	1.29783879
88	1.28681327
89	1.276819789
90	1.271895656
91	1.26022104
92	1.249983052
93	1.241313939
94	1.228994667
95	1.219656736
96	1.209645068
97	1.197232399
98	1.188976537
99	1.182540952
100	1.176650042
101	1.167371654
102	1.157265586
103	1.151015822
104	1.142180922
105	1.134220352
106	1.125054089
107	1.116131376
108	1.105902224
109	1.095780896
110	1.084260867
111	1.073596692
112	1.063007833
113	1.054834439
114	1.047825307
115	1.040854641
116	1.033978221
117	1.027309598
118	1.020196574
119	1.017183137
120	1.011802597
121	1.002733752
122	0.9930138557
123	0.9831595667
124	0.9726615184
125	0.9658710415
126	0.9616309189
127	0.9553950622
128	0.9481138238
129	0.9389011721
130	0.9276279042
131	0.921203598
132	0.9122488041
133	0.9044261706
134	0.8972320165
135	0.8882427778
136	0.8790177485
137	0.8717272921
138	0.8620222034
139	0.8568314778
140	0.8477517562
141	0.8383240742
142	0.8305869028
143	0.8227240724
144	0.8151816384
145	0.8068917047
146	0.7987821421
147	0.7907814341
148	0.7821740381
149	0.7750644368
150	0.7677684021
151	0.7608848896
152	0.7521698482
153	0.7447923221
154	0.7420586816
155	0.733759062
156	0.7292533963
157	0.7246718948
158	0.7200701285
159	0.7144640567
160	0.7083467039
161	0.7012854817
162	0.6931431278
163	0.6873195961
164	0.6807292357
165	0.6754360622
166	0.6665712295
167	0.6589230703
168	0.6514961498
169	0.6465471955
170	0.6389003246
171	0.6355815649
172	0.6280645222
173	0.6222204343
174	0.6153266968
175	0.6092134264
176	0.6050516705
177	0.6002775014
178	0.5947016356
179	0.587941995
180	0.5797185646
181	0.5743845712
182	0.5710041233
183	0.5681270208
184	0.5623443115
185	0.5561879716
186	0.5501728384
187	0.5448089057
188	0.5386150433
189	0.5320101402
190	0.5287983444
191	0.5243933085
192	0.5191417759
193	0.513596999
194	0.5096992627
195	0.5062590766
196	0.4997914406
197	0.495264606
198	0.4905251911
199	0.4861162637
200	0.4828810746
201	0.4787324222
202	0.4745549751
203	0.4697850974
204	0.4655781051
205	0.460262607
206	0.4547915453
207	0.4509988022
208	0.4447387492
209	0.4401813152
210	0.4350660824
211	0.4305455515
212	0.4286151227
213	0.4257931217
214	0.4218478147
215	0.4173801912
216	0.4131626426
217	0.4093731461
218	0.4060144618
219	0.4029801013
220	0.3984079993
221	0.3942690535
222	0.3920362786
223	0.3878749642
224	0.385776876
225	0.381291221
226	0.3770108003
227	0.3733150045
228	0.3700747572
229	0.3657183188
230	0.3613068703
231	0.3584826429
232	0.3540445369
233	0.3508543346
234	0.3476832584
235	0.3450874143
236	0.341524403
237	0.3381620342
238	0.3355265402
239	0.3316963148
240	0.3283214048
241	0.324603238
242	0.3228042064
243	0.3195275934
244	0.317316414
245	0.3151079395
246	0.3123611041
247	0.3091258489
248	0.3063070783
249	0.3026358609
250	0.2992548854
251	0.2960322586
252	0.2934669614
253	0.2906007062
254	0.2882042732
255	0.2847548335
256	0.2819564822
257	0.2794696001
258	0.2770000507
259	0.2745442085
260	0.2718513951
261	0.2692264647
262	0.2658779752
263	0.2629149864
264	0.2609828701
265	0.2576907284
266	0.2551943267
267	0.2527833169
268	0.2503538672
269	0.2468675526
270	0.244610289
271	0.2424096743
272	0.2411103711
273	0.2386838379
274	0.236726439
275	0.2343610015
276	0.2333036241
277	0.2319418413
278	0.2301632261
279	0.2278018973
280	0.2262154625
281	0.2231867441
282	0.2210497802
283	0.2193103712
284	0.2169147182
285	0.2157116563
286	0.2129681311
287	0.2107275311
288	0.2084013581
289	0.2074420747
290	0.2063010475
291	0.2045239182
292	0.2031615313
293	0.2009575262
294	0.1994365426
295	0.1980615397
296	0.1965706307
297	0.1941909869
298	0.1929997238
299	0.1911025948
